District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production
COLOMBO,210,278,1730,2218,208,278,1729,2215,2133,2542,2372,2371,1883,4464
GAMPAHA,1570,1481,5609,8660,1454,1474,5539,8467,2370,3242,2424,2557,7197,18401
KALUTARA,112,1090,7930,9132,112,1090,7913,9115,3122,2946,2415,2487,8408,20913
KANDY,4196,3296,2408,9900,4196,3266,2399,9861,4811,2846,3172,3762,7798,29335
MATALE,6820,4124,813,11757,6771,4039,756,11566,4293,3716,2527,3976,10402,41359
NUWARAELIYA,520,1916,3,2439,520,1913,3,2436,4177,4104,3694,4119,1372,5653
GALLE,-,127,5556,5683,-,80,4944,5024,-,2328,2167,2169,3931,8527
MATARA,3469,3941,5562,12972,2201,2697,4811,9709,3573,2930,2775,2999,7666,22989
HAMBANTOTA,29254,4558,1135,34947,27781,4128,1011,32920,5289,4253,2938,5087,28762,146310
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,1983,391,-,2374,1982,387,-,2369,5045,3704,-,4826,2262,10918
VAVUNIYA,2063,3640,-,5703,2036,3494,-,5530,4068,4074,-,4071,5218,21243
MULATIVU,4203,1549,-,5752,4203,1549,-,5752,4428,4389,-,4418,5427,23973
KILLINOCHCHI,6807,75,-,6882,6807,75,-,6882,3999,3010,-,3988,6107,24355
BATTICALOA,29078,4418,70,33566,29078,4418,70,33566,3580,3401,3549,3557,29625,105366
AMPARA,60510,2308,366,63184,60506,2304,366,63176,4358,3986,3251,4338,60377,261938
TRINCOMALEE,23787,4726,136,28649,23787,4726,136,28649,4979,3757,3577,4771,26615,126977
KURUNEGALA,15199,28892,21197,65288,14993,26925,17933,59851,4237,3301,3004,3447,59851,206292
PUTTALAM,8189,8341,1142,17672,8180,8049,1041,17270,4180,3443,3730,3810,14680,55932
ANURADHAPURA,43099,22007,418,65524,42888,21549,415,64852,4563,3790,3969,4302,52148,224321
POLONNARUWA,58149,7852,32,66033,58147,7811,32,65990,4986,4421,3686,4918,58375,287105
BADULLA,8251,4785,163,13199,8251,4762,163,13176,4592,4491,4451,4554,11200,51003
MONARAGALA,8277,6787,1497,16561,8274,6737,1479,16490,4455,3823,2555,4026,16160,65066
RATNAPURA,4430,4584,1473,10487,4397,4564,1463,10424,5661,3164,3002,4195,8861,37169
KEGALLE,-,690,5804,6494,-,690,5692,6382,-,3142,2954,2974,5979,17782
SRI_LANKA,320176,121856,63044,505076,316772,117005,57895,491672,4223,3533,3111,3822,440304,1817391
